#K-Path      Energy-Level
# NKPTS & NBANDS: 600  24
# Band-Index    1
   0.98690    -10.108912
   0.98334    -10.111583
   0.97979    -10.114202
   0.97623    -10.116769
   0.97268    -10.119287
   0.96912    -10.121750
   0.96557    -10.124160
   0.96201    -10.126528
   0.95846    -10.128833
   0.95490    -10.131085
   0.95135    -10.133283
   0.94779    -10.135429
   0.94424    -10.137520
   0.94068    -10.139558
   0.93713    -10.141542
   0.93357    -10.143472
   0.93002    -10.145347
   0.92647    -10.147169
   0.92291    -10.148935
   0.91936    -10.150649
   0.91580    -10.152306
   0.91225    -10.153908
   0.90869    -10.155455
   0.90514    -10.156947
   0.90158    -10.158383
   0.89803    -10.159764
   0.89447    -10.161090
   0.89092    -10.162359
   0.88736    -10.163573
   0.88381    -10.164731
   0.88025    -10.165834
   0.87670    -10.166880
   0.87314    -10.167870
   0.86959    -10.168804
   0.86604    -10.169682
   0.86248    -10.170503
   0.85893    -10.171268
   0.85537    -10.171977
   0.85182    -10.172629
   0.84826    -10.173225
   0.84471    -10.173764
   0.84115    -10.174246
   0.83760    -10.174672
   0.83404    -10.175042
   0.83049    -10.175354
   0.82693    -10.175610
   0.82338    -10.175810
   0.81982    -10.175954
   0.81627    -10.176040
   0.81271    -10.176068
   0.81271    -10.176068
   0.80451    -10.175842
   0.79630    -10.175173
   0.78809    -10.174058
   0.77988    -10.172494
   0.77167    -10.170486
   0.76346    -10.168033
   0.75525    -10.165134
   0.74704    -10.161790
   0.73883    -10.158000
   0.73062    -10.153765
   0.72241    -10.149084
   0.71420    -10.143959
   0.70599    -10.138389
   0.69779    -10.132375
   0.68958    -10.125917
   0.68137    -10.119015
   0.67316    -10.111670
   0.66495    -10.103882
   0.65674    -10.095651
   0.64853    -10.086978
   0.64032    -10.077864
   0.63211    -10.068309
   0.62390    -10.058312
   0.61569    -10.047894
   0.60748    -10.037027
   0.59927    -10.025711
   0.59107    -10.013957
   0.58286    -10.001766
   0.57465     -9.989137
   0.56644     -9.976076
   0.55823     -9.962575
   0.55002     -9.948640
   0.54181     -9.934270
   0.53360     -9.919467
   0.52539     -9.904232
   0.51718     -9.888565
   0.50897     -9.872467
   0.50076     -9.855925
   0.49255     -9.838969
   0.48435     -9.821584
   0.47614     -9.803773
   0.46793     -9.785537
   0.45972     -9.766877
   0.45151     -9.747793
   0.44330     -9.728288
   0.43509     -9.708361
   0.42688     -9.688016
   0.41867     -9.667238
   0.41046     -9.646056
   0.40225     -9.624451
   0.39404     -9.602443
   0.38583     -9.580023
   0.37763     -9.557192
   0.36942     -9.533952
